benchmark,reordering,sim,skips,merge_calls,transfer_calls,transfer_time,merge_time,simulation_time,assertion_time,peak_nodes,gc_time,reordering_time,cudd_memory
bics_nodeFaults,disabled,Classic Simulator,0,1478.0,578.0,0.006982,0.011895,0.021775,0.00238,43946.0,0.0,0.0,11.581428527832031
bics_nodeFaults,disabled,New Simulator,0,1391.0,549.0,0.006773,0.011698,0.021172,0.002356,41902.0,0.0,0.0,11.513130187988281
bics_nodeFaults,disabled,New Simulator,1,836.0,364.0,0.005788,0.009559,0.01777,0.002369,36792.0,0.0,0.0,11.341407775878906
bics_nodeFaults,disabled,New Simulator,3,773.0,343.0,0.005618,0.008984,0.01698,0.002422,34748.0,0.0,0.0,11.267250061035156
bics_nodeFaults,disabled,New Simulator,6,794.0,350.0,0.005637,0.009328,0.01736,0.002472,35770.0,0.0,0.0,11.298469543457031
bics_nodeFaults,WINDOW2,Classic Simulator,0,1478.0,578.0,0.019192,0.041814,0.063583,0.002198,33726.0,0.0,0.04,11.241889953613281
bics_nodeFaults,WINDOW2,New Simulator,0,1391.0,549.0,0.042467,0.016896,0.062009,0.002163,31682.0,0.0,0.04,11.175544738769531
bics_nodeFaults,WINDOW2,New Simulator,1,836.0,364.0,0.031309,0.020147,0.053807,0.002147,31682.0,0.0,0.05,11.173591613769531
bics_nodeFaults,WINDOW2,New Simulator,3,773.0,343.0,0.032904,0.016351,0.051493,0.002057,28616.0,0.0,0.05,11.070167541503906
bics_nodeFaults,WINDOW2,New Simulator,6,794.0,350.0,0.016823,0.032547,0.051539,0.002132,29638.0,0.0,0.04,11.103340148925781
bics_nodeFaults,WINDOW2_CONV,Classic Simulator,0,1478.0,578.0,0.027238,0.033287,0.063082,0.002147,33726.0,0.0,0.04,11.241889953613281
bics_nodeFaults,WINDOW2_CONV,New Simulator,0,1391.0,549.0,0.035023,0.0241,0.061711,0.002093,31682.0,0.0,0.03,11.175544738769531
bics_nodeFaults,WINDOW2_CONV,New Simulator,1,836.0,364.0,0.035336,0.016125,0.053703,0.002088,31682.0,0.01,0.03,11.173591613769531
bics_nodeFaults,WINDOW2_CONV,New Simulator,3,773.0,343.0,0.031588,0.016228,0.050005,0.002031,28616.0,0.0,0.02,11.070167541503906
bics_nodeFaults,WINDOW2_CONV,New Simulator,6,794.0,350.0,0.016851,0.032859,0.051929,0.002087,29638.0,0.0,0.03,11.103340148925781
bics_nodeFaults,WINDOW3,Classic Simulator,0,1478.0,578.0,0.019664,0.041044,0.063223,0.002143,33726.0,0.0,0.05,11.241889953613281
bics_nodeFaults,WINDOW3,New Simulator,0,1391.0,549.0,0.042188,0.016567,0.061352,0.002112,31682.0,0.0,0.04,11.175544738769531
bics_nodeFaults,WINDOW3,New Simulator,1,836.0,364.0,0.029954,0.019887,0.052113,0.002072,31682.0,0.0,0.05,11.173591613769531
bics_nodeFaults,WINDOW3,New Simulator,3,773.0,343.0,0.033479,0.01653,0.052197,0.002119,28616.0,0.0,0.04,11.070167541503906
bics_nodeFaults,WINDOW3,New Simulator,6,822.0,358.0,0.017261,0.033879,0.053375,0.002076,30660.0,0.0,0.03,11.134559631347656
bics_nodeFaults,WINDOW3_CONV,Classic Simulator,0,1478.0,578.0,0.018835,0.040949,0.062296,0.002176,33726.0,0.0,0.02,11.241889953613281
bics_nodeFaults,WINDOW3_CONV,New Simulator,0,1391.0,549.0,0.042654,0.016917,0.062116,0.002176,31682.0,0.0,0.02,11.175544738769531
bics_nodeFaults,WINDOW3_CONV,New Simulator,1,845.0,367.0,0.030606,0.020251,0.053148,0.002096,31682.0,0.0,0.03,11.173591613769531
bics_nodeFaults,WINDOW3_CONV,New Simulator,3,773.0,343.0,0.033866,0.016641,0.052704,0.002092,28616.0,0.0,0.02,11.070167541503906
bics_nodeFaults,WINDOW3_CONV,New Simulator,6,794.0,350.0,0.017021,0.03326,0.052498,0.002132,29638.0,0.0,0.04,11.103340148925781
